Index,Date,Tenbin,Minute,Hits,Misses
226,2024-05-16,1730,1,1763,0
227,2024-05-16,1730,2,1760,0
228,2024-05-16,1730,3,1619,0
229,2024-05-16,1730,4,1605,0
230,2024-05-16,1730,5,1626,0
231,2024-05-16,1730,6,1488,0
232,2024-05-16,1730,7,1583,0
233,2024-05-16,1730,8,1749,0
234,2024-05-16,1730,9,1626,0
235,2024-05-16,1740,0,1669,0
236,2024-05-16,1740,1,1573,0
237,2024-05-16,1740,2,1608,0
238,2024-05-16,1740,3,1633,0
239,2024-05-16,1740,4,1609,0
240,2024-05-16,1740,5,1367,0
241,2024-05-16,1740,6,1388,0
242,2024-05-16,1740,7,1404,0
243,2024-05-16,1740,8,1388,0
244,2024-05-16,1740,9,1384,0
245,2024-05-16,1750,0,1367,0
246,2024-05-16,1750,1,1408,0
247,2024-05-16,1750,2,1421,0
248,2024-05-16,1750,3,1407,0
249,2024-05-16,1750,4,1248,0
250,2024-05-16,1750,5,1344,0
251,2024-05-16,1750,6,1470,0
252,2024-05-16,1750,7,1401,0
253,2024-05-16,1750,8,1319,0
254,2024-05-16,1750,9,1249,0
255,2024-05-16,1800,0,1169,0
256,2024-05-16,1800,1,1234,0
257,2024-05-16,1800,2,1301,0
258,2024-05-16,1800,3,1146,0
259,2024-05-16,1800,4,1320,0
260,2024-05-16,1800,5,1416,0
261,2024-05-16,1800,6,1718,0
262,2024-05-16,1800,7,1487,0
263,2024-05-16,1800,8,1350,0
264,2024-05-16,1800,9,1486,0
265,2024-05-16,1810,0,1546,0
266,2024-05-16,1810,1,1559,0
267,2024-05-16,1810,2,1623,0
268,2024-05-16,1810,3,1305,0
269,2024-05-16,1810,4,1251,0
270,2024-05-16,1810,5,1301,0
271,2024-05-16,1810,6,1319,0
272,2024-05-16,1810,7,1209,0
273,2024-05-16,1810,8,1058,0
274,2024-05-16,1810,9,1008,0
275,2024-05-16,1820,0,1014,0
276,2024-05-16,1820,1,965,0
277,2024-05-16,1820,2,1099,0
278,2024-05-16,1820,3,1167,0
279,2024-05-16,1820,4,1293,0
280,2024-05-16,1820,5,1309,0
281,2024-05-16,1820,6,1100,0
282,2024-05-16,1820,7,1056,0
283,2024-05-16,1820,8,1085,0
284,2024-05-16,1820,9,990,0
285,2024-05-16,1830,0,1040,0
286,2024-05-16,1830,1,1178,0
287,2024-05-16,1830,2,1218,0
288,2024-05-16,1830,3,1072,0
289,2024-05-16,1830,4,1218,0
290,2024-05-16,1830,5,1469,0
291,2024-05-16,1830,6,1126,0
292,2024-05-16,1830,7,1145,0
293,2024-05-16,1830,8,1127,0
294,2024-05-16,1830,9,1044,0
295,2024-05-16,1840,0,1104,0
296,2024-05-16,1840,1,1053,0
297,2024-05-16,1840,2,911,0
298,2024-05-16,1840,3,910,0
299,2024-05-16,1840,4,905,0
