,Date,Tenbin,Minute,Hits,Misses
1,2024-05-19,0730,1,2936,0
2,2024-05-19,0730,2,2935,0
3,2024-05-19,0730,3,3273,0
4,2024-05-19,0730,4,2907,0
5,2024-05-19,0730,5,3097,0
6,2024-05-19,0730,6,2986,0
7,2024-05-19,0730,7,2974,0
8,2024-05-19,0730,8,2693,0
9,2024-05-19,0730,9,2705,0
0,2024-05-19,0740,0,2728,0
1,2024-05-19,0740,1,3569,0
2,2024-05-19,0740,2,2903,0
3,2024-05-19,0740,3,2751,0
4,2024-05-19,0740,4,2850,0
5,2024-05-19,0740,5,3416,0
6,2024-05-19,0740,6,2844,0
7,2024-05-19,0740,7,2785,0
8,2024-05-19,0740,8,2842,0
9,2024-05-19,0740,9,3331,0
0,2024-05-19,0750,0,3250,0
1,2024-05-19,0750,1,3218,0
2,2024-05-19,0750,2,3566,0
3,2024-05-19,0750,3,2647,0
4,2024-05-19,0750,4,2714,0
5,2024-05-19,0750,5,2759,0
6,2024-05-19,0750,6,2706,0
7,2024-05-19,0750,7,2738,0
8,2024-05-19,0750,8,2931,0
9,2024-05-19,0750,9,8047,0
0,2024-05-19,0800,0,2908,0
1,2024-05-19,0800,1,2614,0
2,2024-05-19,0800,2,3065,0
3,2024-05-19,0800,3,2923,0
4,2024-05-19,0800,4,2789,0
5,2024-05-19,0800,5,2779,0
6,2024-05-19,0800,6,2653,0
7,2024-05-19,0800,7,2992,0
8,2024-05-19,0800,8,3406,0
9,2024-05-19,0800,9,2641,0
0,2024-05-19,0840,0,44883,1587331
1,2024-05-19,0840,1,45304,926831
2,2024-05-19,0840,2,43234,1027251
3,2024-05-19,0840,3,46073,1514474
4,2024-05-19,0840,4,45090,1008029
5,2024-05-19,0840,5,45782,1002927
6,2024-05-19,0840,6,42410,2237318
7,2024-05-19,0840,7,45161,1456409
8,2024-05-19,0840,8,40969,2809029
9,2024-05-19,0840,9,45614,1581086
0,2024-05-19,0850,0,45505,797901
1,2024-05-19,0850,1,31994,236387
2,2024-05-19,0850,2,4216,0
3,2024-05-19,0850,3,2645,0
4,2024-05-19,0850,4,2678,0
5,2024-05-19,0850,5,2612,0
6,2024-05-19,0850,6,2895,0
7,2024-05-19,0850,7,3151,0
8,2024-05-19,0850,8,2880,0
9,2024-05-19,0850,9,2738,0
0,2024-05-19,0900,0,2586,0
1,2024-05-19,0900,1,2608,0
2,2024-05-19,0900,2,2451,0
3,2024-05-19,0900,3,2714,0
4,2024-05-19,0900,4,3416,0
5,2024-05-19,0900,5,3435,0
6,2024-05-19,0900,6,2942,0
7,2024-05-19,0900,7,3051,0
8,2024-05-19,0900,8,2733,0
9,2024-05-19,0900,9,2855,0
0,2024-05-19,0910,0,2919,0
1,2024-05-19,0910,1,2831,0
2,2024-05-19,0910,2,3004,0
3,2024-05-19,0910,3,3311,0
4,2024-05-19,0910,4,3340,0
5,2024-05-19,0910,5,3170,0
6,2024-05-19,0910,6,3114,0
7,2024-05-19,0910,7,3501,0
8,2024-05-19,0910,8,3128,0
9,2024-05-19,0910,9,3285,0
0,2024-05-19,0920,0,3410,0
1,2024-05-19,0920,1,2962,0
2,2024-05-19,0920,2,2884,0
3,2024-05-19,0920,3,3268,0
4,2024-05-19,0920,4,3134,0
5,2024-05-19,0920,5,3417,0
6,2024-05-19,0920,6,3186,0
7,2024-05-19,0920,7,3172,0
8,2024-05-19,0920,8,2805,0
